0,complete
1,cut bread slices
2,cut cheese slices
3,cut cheese stripes
4,cut tomato apart
5,cut tomato slices
6,pack cheese
7,put bread into package
8,put bread slices on plate
9,put butter on bread
10,put cheese on bread
11,put jam on bread
12,put one bread piece on top of the other
13,put peanut butter on bread
14,remove bread from package
15,remove cheese from package
16,remove lid from butter case
17,screw close jam
18,screw close peanut butter
19,screw close peanut spread
20,screw open jam
21,screw open peanut butter
22,screw open peanut spread
23,spread butter
24,spread jam on bread
25,spread peanut spread on bread
26,stir peanut spread
27,take knife from drawer
28,take out bread from cupboard
29,take out butter case from fridge
30,take out butter knife from drawer
31,take out chopping board from drawer
32,take out jam from cupboard
33,take out knife from drawer
34,take out peanut butter from cupboard
35,take out plate from cupboard
36,take out spoon from drawer
37,take out tomato from fridge
38,wash tomato
